date,year,month,day,port_name,country,import_volume_estimate,export_volume_estimate,vessel_call_count,port_id
2019-09-23 00:00:00+00:00,2019,9,23,CALCUTTA,India,0.0,0.0,0,0
2019-09-24 00:00:00+00:00,2019,9,24,CALCUTTA,India,0.0,0.0,0,0
2019-09-25 00:00:00+00:00,2019,9,25,CALCUTTA,India,0.0,0.0,0,0
2019-09-26 00:00:00+00:00,2019,9,26,CALCUTTA,India,0.0,0.0,0,0
2019-09-27 00:00:00+00:00,2019,9,27,CALCUTTA,India,0.0,0.0,0,0
2019-09-28 00:00:00+00:00,2019,9,28,CALCUTTA,India,0.0,0.0,0,0
2019-09-29 00:00:00+00:00,2019,9,29,CALCUTTA,India,0.0,0.0,0,0
2019-09-30 00:00:00+00:00,2019,9,30,CALCUTTA,India,0.0,0.0,0,0
2019-10-01 00:00:00+00:00,2019,10,1,CALCUTTA,India,0.0,0.0,0,0
2019-10-02 00:00:00+00:00,2019,10,2,CALCUTTA,India,0.0,0.0,0,0
2019-10-03 00:00:00+00:00,2019,10,3,CALCUTTA,India,0.0,0.0,0,0
2019-10-04 00:00:00+00:00,2019,10,4,CALCUTTA,India,0.0,0.0,0,0
2019-10-05 00:00:00+00:00,2019,10,5,CALCUTTA,India,0.0,0.0,0,0
2019-10-06 00:00:00+00:00,2019,10,6,CALCUTTA,India,0.0,0.0,0,0
2019-10-07 00:00:00+00:00,2019,10,7,CALCUTTA,India,0.0,0.0,0,0
2019-10-08 00:00:00+00:00,2019,10,8,CALCUTTA,India,0.0,0.0,0,0
2019-10-09 00:00:00+00:00,2019,10,9,CALCUTTA,India,0.0,0.0,0,0
2019-10-10 00:00:00+00:00,2019,10,10,CALCUTTA,India,0.0,0.0,0,0
2019-10-11 00:00:00+00:00,2019,10,11,CALCUTTA,India,0.0,0.0,0,0
2019-10-12 00:00:00+00:00,2019,10,12,CALCUTTA,India,0.0,0.0,0,0
2019-10-13 00:00:00+00:00,2019,10,13,CALCUTTA,India,0.0,0.0,0,0
2019-10-14 00:00:00+00:00,2019,10,14,CALCUTTA,India,0.0,0.0,0,0
2019-10-15 00:00:00+00:00,2019,10,15,CALCUTTA,India,0.0,0.0,0,0
2019-10-16 00:00:00+00:00,2019,10,16,CALCUTTA,India,0.0,0.0,0,0
2019-10-17 00:00:00+00:00,2019,10,17,CALCUTTA,India,0.0,0.0,0,0
2019-10-18 00:00:00+00:00,2019,10,18,CALCUTTA,India,0.0,0.0,0,0
2019-10-19 00:00:00+00:00,2019,10,19,CALCUTTA,India,0.0,0.0,0,0
2019-10-20 00:00:00+00:00,2019,10,20,CALCUTTA,India,0.0,0.0,0,0
2019-10-21 00:00:00+00:00,2019,10,21,CALCUTTA,India,0.0,0.0,0,0
2019-10-22 00:00:00+00:00,2019,10,22,CALCUTTA,India,0.0,0.0,0,0
2019-10-23 00:00:00+00:00,2019,10,23,CALCUTTA,India,0.0,0.0,0,0
2019-10-24 00:00:00+00:00,2019,10,24,CALCUTTA,India,0.0,0.0,0,0
2019-10-25 00:00:00+00:00,2019,10,25,CALCUTTA,India,0.0,0.0,0,0
